"No.","Time","Source","Destination","Protocol","Length","Info"
"125","153.278851","10.0.0.2","10.0.0.6","TCP","574","1635  >  0 [SYN] Seq=0 Win=512 Len=2000"
"126","153.278873","10.0.0.6","10.0.0.2","TCP","54","0  >  1635 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"128","153.282190","10.0.0.2","10.0.0.6","TCP","574","1636  >  0 [SYN] Seq=0 Win=512 Len=2000"
"129","153.282199","10.0.0.6","10.0.0.2","TCP","54","0  >  1636 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"131","153.285185","10.0.0.2","10.0.0.6","TCP","574","1637  >  0 [SYN] Seq=0 Win=512 Len=2000"
"132","153.285203","10.0.0.6","10.0.0.2","TCP","54","0  >  1637 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"134","153.288306","10.0.0.2","10.0.0.6","TCP","574","1638  >  0 [SYN] Seq=0 Win=512 Len=2000"
"135","153.288323","10.0.0.6","10.0.0.2","TCP","54","0  >  1638 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"137","153.293295","10.0.0.2","10.0.0.6","TCP","574","1639  >  0 [SYN] Seq=0 Win=512 Len=2000"
"138","153.293341","10.0.0.6","10.0.0.2","TCP","54","0  >  1639 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"140","153.296582","10.0.0.2","10.0.0.6","TCP","574","1640  >  0 [SYN] Seq=0 Win=512 Len=2000"
"141","153.296599","10.0.0.6","10.0.0.2","TCP","54","0  >  1640 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"143","153.299923","10.0.0.2","10.0.0.6","TCP","574","1641  >  0 [SYN] Seq=0 Win=512 Len=2000"
"144","153.299931","10.0.0.6","10.0.0.2","TCP","54","0  >  1641 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"146","153.303593","10.0.0.2","10.0.0.6","TCP","574","1642  >  0 [SYN] Seq=0 Win=512 Len=2000"
"147","153.303636","10.0.0.6","10.0.0.2","TCP","54","0  >  1642 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"149","153.306685","10.0.0.2","10.0.0.6","TCP","574","1643  >  0 [SYN] Seq=0 Win=512 Len=2000"
"150","153.306707","10.0.0.6","10.0.0.2","TCP","54","0  >  1643 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"152","153.317261","10.0.0.2","10.0.0.6","TCP","574","1644  >  0 [SYN] Seq=0 Win=512 Len=2000"
"153","153.317304","10.0.0.6","10.0.0.2","TCP","54","0  >  1644 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"155","153.320961","10.0.0.2","10.0.0.6","TCP","574","1645  >  0 [SYN] Seq=0 Win=512 Len=2000"
"156","153.320976","10.0.0.6","10.0.0.2","TCP","54","0  >  1645 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"158","153.324287","10.0.0.2","10.0.0.6","TCP","574","1646  >  0 [SYN] Seq=0 Win=512 Len=2000"
"159","153.324296","10.0.0.6","10.0.0.2","TCP","54","0  >  1646 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"161","153.327628","10.0.0.2","10.0.0.6","TCP","574","1647  >  0 [SYN] Seq=0 Win=512 Len=2000"
"162","153.327636","10.0.0.6","10.0.0.2","TCP","54","0  >  1647 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"164","153.330966","10.0.0.2","10.0.0.6","TCP","574","1648  >  0 [SYN] Seq=0 Win=512 Len=2000"
"165","153.330974","10.0.0.6","10.0.0.2","TCP","54","0  >  1648 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"167","153.344853","10.0.0.2","10.0.0.6","TCP","574","1649  >  0 [SYN] Seq=0 Win=512 Len=2000"
"169","153.344875","10.0.0.6","10.0.0.2","TCP","54","0  >  1649 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"170","153.345686","10.0.0.2","10.0.0.6","TCP","574","1650  >  0 [SYN] Seq=0 Win=512 Len=2000"
"171","153.345694","10.0.0.6","10.0.0.2","TCP","54","0  >  1650 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"173","153.349026","10.0.0.2","10.0.0.6","TCP","574","1651  >  0 [SYN] Seq=0 Win=512 Len=2000"
"174","153.349033","10.0.0.6","10.0.0.2","TCP","54","0  >  1651 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"176","153.352388","10.0.0.2","10.0.0.6","TCP","574","1652  >  0 [SYN] Seq=0 Win=512 Len=2000"
"177","153.352410","10.0.0.6","10.0.0.2","TCP","54","0  >  1652 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"179","153.355708","10.0.0.2","10.0.0.6","TCP","574","1653  >  0 [SYN] Seq=0 Win=512 Len=2000"
"180","153.355719","10.0.0.6","10.0.0.2","TCP","54","0  >  1653 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"182","153.359052","10.0.0.2","10.0.0.6","TCP","574","1654  >  0 [SYN] Seq=0 Win=512 Len=2000"
"183","153.359060","10.0.0.6","10.0.0.2","TCP","54","0  >  1654 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"185","153.362390","10.0.0.2","10.0.0.6","TCP","574","1655  >  0 [SYN] Seq=0 Win=512 Len=2000"
"186","153.362399","10.0.0.6","10.0.0.2","TCP","54","0  >  1655 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"188","153.371261","10.0.0.2","10.0.0.6","TCP","574","1656  >  0 [SYN] Seq=0 Win=512 Len=2000"
"190","153.371307","10.0.0.6","10.0.0.2","TCP","54","0  >  1656 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"191","153.372063","10.0.0.2","10.0.0.6","TCP","574","1657  >  0 [SYN] Seq=0 Win=512 Len=2000"
"192","153.372074","10.0.0.6","10.0.0.2","TCP","54","0  >  1657 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"194","153.375387","10.0.0.2","10.0.0.6","TCP","574","1658  >  0 [SYN] Seq=0 Win=512 Len=2000"
"195","153.375396","10.0.0.6","10.0.0.2","TCP","54","0  >  1658 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"197","153.378727","10.0.0.2","10.0.0.6","TCP","574","1659  >  0 [SYN] Seq=0 Win=512 Len=2000"
"198","153.378735","10.0.0.6","10.0.0.2","TCP","54","0  >  1659 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"200","153.382091","10.0.0.2","10.0.0.6","TCP","574","1660  >  0 [SYN] Seq=0 Win=512 Len=2000"
"201","153.382115","10.0.0.6","10.0.0.2","TCP","54","0  >  1660 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"203","153.389986","10.0.0.2","10.0.0.6","TCP","574","1661  >  0 [SYN] Seq=0 Win=512 Len=2000"
"205","153.390034","10.0.0.6","10.0.0.2","TCP","54","0  >  1661 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"206","153.391390","10.0.0.2","10.0.0.6","TCP","574","1662  >  0 [SYN] Seq=0 Win=512 Len=2000"
"207","153.391404","10.0.0.6","10.0.0.2","TCP","54","0  >  1662 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"209","153.394705","10.0.0.2","10.0.0.6","TCP","574","1663  >  0 [SYN] Seq=0 Win=512 Len=2000"
"210","153.394714","10.0.0.6","10.0.0.2","TCP","54","0  >  1663 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"212","153.399209","10.0.0.2","10.0.0.6","TCP","574","1664  >  0 [SYN] Seq=0 Win=512 Len=2000"
"214","153.399251","10.0.0.6","10.0.0.2","TCP","54","0  >  1664 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"215","153.413802","10.0.0.2","10.0.0.6","TCP","574","1665  >  0 [SYN] Seq=0 Win=512 Len=2000"
"217","153.413846","10.0.0.6","10.0.0.2","TCP","54","0  >  1665 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"218","153.414867","10.0.0.2","10.0.0.6","TCP","574","1666  >  0 [SYN] Seq=0 Win=512 Len=2000"
"219","153.414875","10.0.0.6","10.0.0.2","TCP","54","0  >  1666 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"221","153.418211","10.0.0.2","10.0.0.6","TCP","574","1667  >  0 [SYN] Seq=0 Win=512 Len=2000"
"222","153.418220","10.0.0.6","10.0.0.2","TCP","54","0  >  1667 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"224","153.421557","10.0.0.2","10.0.0.6","TCP","574","1668  >  0 [SYN] Seq=0 Win=512 Len=2000"
"225","153.421570","10.0.0.6","10.0.0.2","TCP","54","0  >  1668 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"227","153.424894","10.0.0.2","10.0.0.6","TCP","574","1669  >  0 [SYN] Seq=0 Win=512 Len=2000"
"228","153.424903","10.0.0.6","10.0.0.2","TCP","54","0  >  1669 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
