"No.","Time","Source","Destination","Protocol","Length","Info"
"31885","302.543609","10.0.0.6","10.0.0.1","TCP","54","[TCP ACKed unseen segment] 0  >  29254 [RST, ACK] Seq=1 Ack=72477003 Win=0 Len=0"
"31894","302.563989","10.0.0.2","10.0.0.6","TCP","574","64904  >  0 [<None>] Seq=1 Win=512 Len=2000"
"31895","302.564017","10.0.0.6","10.0.0.2","TCP","54","0  >  64904 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"31903","302.583408","10.0.0.1","10.0.0.6","TCP","574","33515  >  0 [<None>] Seq=1 Win=512 Len=2000"
"31905","302.583438","10.0.0.6","10.0.0.1","TCP","54","0  >  33515 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"31918","302.614196","10.0.0.1","10.0.0.6","TCP","574","36097  >  0 [<None>] Seq=1 Win=512 Len=2000"
"31919","302.614219","10.0.0.6","10.0.0.1","TCP","54","0  >  36097 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"31941","302.667741","10.0.0.2","10.0.0.6","TCP","574","5451  >  0 [<None>] Seq=1 Win=512 Len=2000"
"31943","302.667796","10.0.0.6","10.0.0.2","TCP","54","0  >  5451 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"31947","302.679084","10.0.0.2","10.0.0.6","TCP","574","12869  >  0 [<None>] Seq=1 Win=512 Len=2000"
"31949","302.679134","10.0.0.6","10.0.0.2","TCP","54","0  >  12869 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"31958","302.699799","10.0.0.2","10.0.0.6","TCP","574","12938  >  0 [<None>] Seq=1 Win=512 Len=2000"
"31959","302.699829","10.0.0.6","10.0.0.2","TCP","54","0  >  12938 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"31961","302.703786","10.0.0.1","10.0.0.6","TCP","574","37824  >  0 [<None>] Seq=1 Win=512 Len=2000"
"31963","302.703810","10.0.0.6","10.0.0.1","TCP","54","0  >  37824 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"31974","302.730893","10.0.0.1","10.0.0.6","TCP","574","44143  >  0 [<None>] Seq=1 Win=512 Len=2000"
"31975","302.730940","10.0.0.6","10.0.0.1","TCP","54","0  >  44143 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"31980","302.743519","10.0.0.2","10.0.0.6","TCP","574","15487  >  0 [<None>] Seq=1 Win=512 Len=2000"
"31982","302.743551","10.0.0.6","10.0.0.2","TCP","54","0  >  15487 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"31993","302.770697","10.0.0.2","10.0.0.6","TCP","574","18466  >  0 [<None>] Seq=1 Win=512 Len=2000"
"31995","302.770726","10.0.0.6","10.0.0.2","TCP","54","0  >  18466 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"31999","302.781015","10.0.0.1","10.0.0.6","TCP","574","46875  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32001","302.781045","10.0.0.6","10.0.0.1","TCP","54","0  >  46875 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32008","302.798189","10.0.0.2","10.0.0.6","TCP","574","20572  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32009","302.798211","10.0.0.6","10.0.0.2","TCP","54","0  >  20572 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32016","302.815372","10.0.0.1","10.0.0.6","TCP","574","50020  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32018","302.815397","10.0.0.6","10.0.0.1","TCP","54","0  >  50020 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32019","302.818255","10.0.0.1","10.0.0.6","TCP","574","52154  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32021","302.818265","10.0.0.6","10.0.0.1","TCP","54","0  >  52154 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32027","302.831851","10.0.0.2","10.0.0.6","TCP","574","22355  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32028","302.831871","10.0.0.6","10.0.0.2","TCP","54","0  >  22355 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32037","302.853138","10.0.0.1","10.0.0.6","TCP","574","52484  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32039","302.853162","10.0.0.6","10.0.0.1","TCP","54","0  >  52484 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32055","302.892715","10.0.0.1","10.0.0.6","TCP","574","54799  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32056","302.892756","10.0.0.6","10.0.0.1","TCP","54","0  >  54799 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32058","302.895982","10.0.0.1","10.0.0.6","TCP","1514","57683  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32059","302.896009","10.0.0.6","10.0.0.1","TCP","54","0  >  57683 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32060","302.897265","10.0.0.2","10.0.0.6","TCP","574","23666  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32061","302.897282","10.0.0.6","10.0.0.2","TCP","54","0  >  23666 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32068","302.914293","10.0.0.1","10.0.0.6","TCP","574","58008  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32070","302.914324","10.0.0.6","10.0.0.1","TCP","54","0  >  58008 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32075","302.927400","10.0.0.2","10.0.0.6","TCP","574","29236  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32077","302.927423","10.0.0.6","10.0.0.2","TCP","54","0  >  29236 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32078","302.929818","10.0.0.1","10.0.0.6","TCP","574","58414  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32079","302.929827","10.0.0.6","10.0.0.1","TCP","54","0  >  58414 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32085","302.941955","10.0.0.1","10.0.0.6","TCP","1514","60572  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32086","302.941973","10.0.0.6","10.0.0.1","TCP","54","0  >  60572 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32093","302.958717","10.0.0.1","10.0.0.6","TCP","574","61585  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32095","302.958741","10.0.0.6","10.0.0.1","TCP","54","0  >  61585 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32107","302.987862","10.0.0.2","10.0.0.6","TCP","574","31665  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32108","302.987890","10.0.0.6","10.0.0.2","TCP","54","0  >  31665 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32140","303.064382","10.0.0.2","10.0.0.6","TCP","574","35347  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32141","303.064409","10.0.0.6","10.0.0.2","TCP","54","0  >  35347 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32143","303.067910","10.0.0.2","10.0.0.6","TCP","1514","42701  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32144","303.067939","10.0.0.6","10.0.0.2","TCP","54","0  >  42701 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32158","303.101965","10.0.0.2","10.0.0.6","TCP","574","42920  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32160","303.102154","10.0.0.6","10.0.0.2","TCP","54","0  >  42920 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32175","303.156694","10.0.0.2","10.0.0.6","TCP","574","45064  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32176","303.156775","10.0.0.6","10.0.0.2","TCP","54","0  >  45064 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32178","303.157727","10.0.0.2","10.0.0.6","TCP","1514","47219  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32179","303.158124","10.0.0.6","10.0.0.2","TCP","54","0  >  47219 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32186","303.173015","10.0.0.2","10.0.0.6","TCP","574","47220  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32187","303.173051","10.0.0.6","10.0.0.2","TCP","54","0  >  47220 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32189","303.176344","10.0.0.2","10.0.0.6","TCP","574","47221  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32190","303.176371","10.0.0.6","10.0.0.2","TCP","54","0  >  47221 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32198","303.195065","10.0.0.2","10.0.0.6","TCP","574","47959  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32200","303.195090","10.0.0.6","10.0.0.2","TCP","54","0  >  47959 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32204","303.203437","10.0.0.2","10.0.0.6","TCP","1514","49752  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32205","303.203461","10.0.0.6","10.0.0.2","TCP","54","0  >  49752 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32213","303.222830","10.0.0.1","10.0.0.6","TCP","574","62750  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32214","303.222856","10.0.0.6","10.0.0.1","TCP","54","0  >  62750 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32227","303.263547","10.0.0.2","10.0.0.6","TCP","574","50075  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32228","303.263577","10.0.0.6","10.0.0.2","TCP","54","0  >  50075 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32229","303.265838","10.0.0.1","10.0.0.6","TCP","574","15249  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32231","303.265851","10.0.0.6","10.0.0.1","TCP","54","0  >  15249 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32241","303.299402","10.0.0.2","10.0.0.6","TCP","574","53847  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32243","303.299406","10.0.0.2","10.0.0.6","TCP","1514","55922  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32244","303.299446","10.0.0.6","10.0.0.2","TCP","54","0  >  53847 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32245","303.299451","10.0.0.6","10.0.0.2","TCP","54","0  >  55922 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32253","303.316338","10.0.0.2","10.0.0.6","TCP","1514","56260  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32254","303.316359","10.0.0.6","10.0.0.2","TCP","54","0  >  56260 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32265","303.343941","10.0.0.1","10.0.0.6","TCP","574","16963  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32266","303.343994","10.0.0.6","10.0.0.1","TCP","54","0  >  16963 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32272","303.357672","10.0.0.2","10.0.0.6","TCP","574","56481  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32273","303.357693","10.0.0.6","10.0.0.2","TCP","54","0  >  56481 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32277","303.364939","10.0.0.1","10.0.0.6","TCP","1514","23223  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32278","303.364959","10.0.0.6","10.0.0.1","TCP","54","0  >  23223 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32290","303.416692","10.0.0.1","10.0.0.6","TCP","574","23641  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32292","303.416717","10.0.0.6","10.0.0.1","TCP","54","0  >  23641 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32319","303.494427","10.0.0.2","10.0.0.6","TCP","574","59565  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32320","303.494464","10.0.0.6","10.0.0.2","TCP","54","0  >  59565 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32344","303.587614","10.0.0.2","10.0.0.6","TCP","574","1378  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32346","303.587639","10.0.0.6","10.0.0.2","TCP","54","0  >  1378 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32353","303.616263","10.0.0.2","10.0.0.6","TCP","574","4163  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32355","303.616286","10.0.0.6","10.0.0.2","TCP","54","0  >  4163 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32370","303.677896","10.0.0.2","10.0.0.6","TCP","574","6080  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32372","303.677925","10.0.0.6","10.0.0.2","TCP","54","0  >  6080 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32394","303.767275","10.0.0.1","10.0.0.6","TCP","574","25243  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32396","303.767319","10.0.0.6","10.0.0.1","TCP","54","0  >  25243 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32404","303.799706","10.0.0.1","10.0.0.6","TCP","574","42950  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32406","303.799802","10.0.0.6","10.0.0.1","TCP","54","0  >  42950 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32409","303.805580","10.0.0.2","10.0.0.6","TCP","574","8387  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32411","303.805594","10.0.0.6","10.0.0.2","TCP","54","0  >  8387 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32435","303.895583","10.0.0.2","10.0.0.6","TCP","574","16732  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32437","303.895607","10.0.0.6","10.0.0.2","TCP","54","0  >  16732 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32444","303.920133","10.0.0.1","10.0.0.6","TCP","574","46114  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32445","303.920220","10.0.0.6","10.0.0.1","TCP","54","0  >  46114 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32462","303.982147","10.0.0.2","10.0.0.6","TCP","574","20878  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32464","303.982171","10.0.0.6","10.0.0.2","TCP","54","0  >  20878 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32494","304.100435","10.0.0.1","10.0.0.6","TCP","574","52029  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32495","304.100512","10.0.0.6","10.0.0.1","TCP","54","0  >  52029 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32508","304.136380","10.0.0.1","10.0.0.6","TCP","1514","62475  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32509","304.136401","10.0.0.6","10.0.0.1","TCP","54","0  >  62475 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32515","304.153205","10.0.0.2","10.0.0.6","TCP","574","25531  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32517","304.153236","10.0.0.6","10.0.0.2","TCP","54","0  >  25531 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32519","304.159843","10.0.0.2","10.0.0.6","TCP","574","34144  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32521","304.159928","10.0.0.6","10.0.0.2","TCP","54","0  >  34144 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32540","304.229957","10.0.0.1","10.0.0.6","TCP","574","62682  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32541","304.230027","10.0.0.6","10.0.0.1","TCP","54","0  >  62682 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32545","304.240543","10.0.0.1","10.0.0.6","TCP","574","2092  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32546","304.240622","10.0.0.6","10.0.0.1","TCP","54","0  >  2092 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32555","304.272505","10.0.0.2","10.0.0.6","TCP","574","35539  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32557","304.272529","10.0.0.6","10.0.0.2","TCP","54","0  >  35539 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32578","304.354972","10.0.0.1","10.0.0.6","TCP","574","2768  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32580","304.355022","10.0.0.6","10.0.0.1","TCP","54","0  >  2768 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32584","304.366013","10.0.0.2","10.0.0.6","TCP","574","42212  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32586","304.366058","10.0.0.6","10.0.0.2","TCP","54","0  >  42212 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32587","304.371760","10.0.0.1","10.0.0.6","TCP","574","8125  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32589","304.371787","10.0.0.6","10.0.0.1","TCP","54","0  >  8125 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32593","304.391962","10.0.0.1","10.0.0.6","TCP","1514","9489  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32594","304.391985","10.0.0.6","10.0.0.1","TCP","54","0  >  9489 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32604","304.425694","10.0.0.2","10.0.0.6","TCP","574","48474  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32606","304.425717","10.0.0.6","10.0.0.2","TCP","54","0  >  48474 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32607","304.428111","10.0.0.2","10.0.0.6","TCP","574","50649  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32608","304.428118","10.0.0.6","10.0.0.2","TCP","54","0  >  50649 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32610","304.435924","10.0.0.1","10.0.0.6","TCP","574","10166  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32612","304.435961","10.0.0.6","10.0.0.1","TCP","54","0  >  10166 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32621","304.457913","10.0.0.2","10.0.0.6","TCP","574","50849  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32623","304.457949","10.0.0.6","10.0.0.2","TCP","54","0  >  50849 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32627","304.469459","10.0.0.1","10.0.0.6","TCP","574","12280  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32628","304.469494","10.0.0.6","10.0.0.1","TCP","54","0  >  12280 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32637","304.502305","10.0.0.2","10.0.0.6","TCP","574","52518  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32638","304.502332","10.0.0.6","10.0.0.2","TCP","54","0  >  52518 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32640","304.503508","10.0.0.2","10.0.0.6","TCP","1514","55180  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32641","304.503520","10.0.0.6","10.0.0.2","TCP","54","0  >  55180 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32650","304.536708","10.0.0.1","10.0.0.6","TCP","574","14645  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32651","304.536733","10.0.0.6","10.0.0.1","TCP","54","0  >  14645 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32654","304.543074","10.0.0.2","10.0.0.6","TCP","574","55605  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32656","304.543119","10.0.0.6","10.0.0.2","TCP","54","0  >  55605 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32666","304.576601","10.0.0.2","10.0.0.6","TCP","574","57433  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32667","304.576682","10.0.0.6","10.0.0.2","TCP","54","0  >  57433 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32674","304.592381","10.0.0.2","10.0.0.6","TCP","574","61410  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32675","304.592403","10.0.0.6","10.0.0.2","TCP","54","0  >  61410 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32684","304.618663","10.0.0.2","10.0.0.6","TCP","1514","63199  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32686","304.618708","10.0.0.6","10.0.0.2","TCP","54","0  >  63199 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32691","304.640501","10.0.0.1","10.0.0.6","TCP","574","19212  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32693","304.640538","10.0.0.6","10.0.0.1","TCP","54","0  >  19212 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32700","304.658780","10.0.0.2","10.0.0.6","TCP","574","63488  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32701","304.658804","10.0.0.6","10.0.0.2","TCP","54","0  >  63488 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32702","304.661191","10.0.0.1","10.0.0.6","TCP","574","25444  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32704","304.661202","10.0.0.6","10.0.0.1","TCP","54","0  >  25444 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32716","304.697344","10.0.0.1","10.0.0.6","TCP","574","27554  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32717","304.697387","10.0.0.6","10.0.0.1","TCP","54","0  >  27554 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32721","304.709445","10.0.0.2","10.0.0.6","TCP","574","966  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32722","304.709467","10.0.0.6","10.0.0.2","TCP","54","0  >  966 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32728","304.727456","10.0.0.1","10.0.0.6","TCP","574","29811  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32730","304.727531","10.0.0.6","10.0.0.1","TCP","54","0  >  29811 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32738","304.753255","10.0.0.1","10.0.0.6","TCP","574","32201  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32740","304.753301","10.0.0.6","10.0.0.1","TCP","54","0  >  32201 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32760","304.812888","10.0.0.1","10.0.0.6","TCP","574","33179  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32761","304.812925","10.0.0.6","10.0.0.1","TCP","54","0  >  33179 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32773","304.851148","10.0.0.2","10.0.0.6","TCP","574","2215  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32774","304.851170","10.0.0.6","10.0.0.2","TCP","54","0  >  2215 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32785","304.882326","10.0.0.2","10.0.0.6","TCP","574","10243  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32786","304.882347","10.0.0.6","10.0.0.2","TCP","54","0  >  10243 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32789","304.887631","10.0.0.1","10.0.0.6","TCP","574","36597  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32790","304.887639","10.0.0.6","10.0.0.1","TCP","54","0  >  36597 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32800","304.922275","10.0.0.2","10.0.0.6","TCP","574","12998  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32802","304.922298","10.0.0.6","10.0.0.2","TCP","54","0  >  12998 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32810","304.957860","10.0.0.2","10.0.0.6","TCP","574","15817  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32811","304.957905","10.0.0.6","10.0.0.2","TCP","54","0  >  15817 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32813","304.960115","10.0.0.2","10.0.0.6","TCP","1514","18215  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32814","304.960141","10.0.0.6","10.0.0.2","TCP","54","0  >  18215 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32825","304.996275","10.0.0.2","10.0.0.6","TCP","574","18636  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32826","304.996302","10.0.0.6","10.0.0.2","TCP","54","0  >  18636 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32846","305.069757","10.0.0.1","10.0.0.6","TCP","574","43391  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32848","305.069798","10.0.0.6","10.0.0.1","TCP","54","0  >  43391 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32851","305.076682","10.0.0.2","10.0.0.6","TCP","574","20389  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32853","305.076703","10.0.0.6","10.0.0.2","TCP","54","0  >  20389 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32856","305.084411","10.0.0.1","10.0.0.6","TCP","574","58881  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32858","305.084434","10.0.0.6","10.0.0.1","TCP","54","0  >  58881 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32862","305.106946","10.0.0.2","10.0.0.6","TCP","574","24529  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32863","305.106974","10.0.0.6","10.0.0.2","TCP","54","0  >  24529 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32878","305.158653","10.0.0.1","10.0.0.6","TCP","574","58966  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32880","305.158693","10.0.0.6","10.0.0.1","TCP","54","0  >  58966 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32894","305.203672","10.0.0.2","10.0.0.6","TCP","574","26943  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32896","305.203701","10.0.0.6","10.0.0.2","TCP","54","0  >  26943 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32897","305.207177","10.0.0.2","10.0.0.6","TCP","574","29329  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32899","305.207208","10.0.0.6","10.0.0.2","TCP","54","0  >  29329 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32900","305.223514","10.0.0.1","10.0.0.6","TCP","574","64765  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32902","305.223561","10.0.0.6","10.0.0.1","TCP","54","0  >  64765 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32912","305.251890","10.0.0.1","10.0.0.6","TCP","574","4963  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32913","305.251934","10.0.0.6","10.0.0.1","TCP","54","0  >  4963 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32923","305.282511","10.0.0.2","10.0.0.6","TCP","574","29515  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32924","305.282534","10.0.0.6","10.0.0.2","TCP","54","0  >  29515 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32927","305.301411","10.0.0.2","10.0.0.6","TCP","574","31888  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32929","305.301449","10.0.0.6","10.0.0.2","TCP","54","0  >  31888 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32952","305.376610","10.0.0.2","10.0.0.6","TCP","574","31889  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32954","305.376634","10.0.0.6","10.0.0.2","TCP","54","0  >  31889 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32955","305.379031","10.0.0.1","10.0.0.6","TCP","574","7094  >  0 [<None>] Seq=1 Win=512 Len=2000"
"32956","305.379040","10.0.0.6","10.0.0.1","TCP","54","0  >  7094 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32962","305.404068","10.0.0.2","10.0.0.6","TCP","574","34393  >  0 [<None>] Seq=1 Win=512 Len=2000"
